date,sale
2008-01-01,21
2008-02-01,22
2008-03-01,23
2008-04-01,21
2008-05-01,23
2008-06-01,22
2008-07-01,21
2008-08-01,19
2008-09-01,20
2008-10-01,20
2008-11-01,20
2008-12-01,20
2009-01-01,20
2009-02-01,21
2009-03-01,21
2009-04-01,25
2009-05-01,23
2009-06-01,29
2009-07-01,31
2009-08-01,30
2009-09-01,31
2009-10-01,33
2009-11-01,34
2009-12-01,37
2010-01-01,36
2010-02-01,49
2010-03-01,53
2010-04-01,53
2010-05-01,59
2010-06-01,74
2010-07-01,68
2010-08-01,58
2010-09-01,55
2010-10-01,54
2010-11-01,54
2010-12-01,45
2011-01-01,49
2011-02-01,50
2011-03-01,48
2011-04-01,52
2011-05-01,54
2011-06-01,57
2011-07-01,54
2011-08-01,54
2011-09-01,52
2011-10-01,49
2011-11-01,46
2011-12-01,43
2012-01-01,47
2012-02-01,49
2012-03-01,49
2012-04-01,48
2012-05-01,49
2012-06-01,50
2012-07-01,51
2012-08-01,49
2012-09-01,50
2012-10-01,51
2012-11-01,52
2012-12-01,48
2013-01-01,48
2013-02-01,50
2013-03-01,49
2013-04-01,47
2013-05-01,46
2013-06-01,42
2013-07-01,45
2013-08-01,45
2013-09-01,51
2013-10-01,45
2013-11-01,45
2013-12-01,43
2014-01-01,46
2014-02-01,49
2014-03-01,47
2014-04-01,45
2014-05-01,52
2014-06-01,48
2014-07-01,51
2014-08-01,48
2014-09-01,51
2014-10-01,53
2014-11-01,51
2014-12-01,47
2015-01-01,44
2015-02-01,55
2015-03-01,50
2015-04-01,52
2015-05-01,57
2015-06-01,63
2015-07-01,50
2015-08-01,47
2015-09-01,53
2015-10-01,51
2015-11-01,49
2015-12-01,49
2016-01-01,48
2016-02-01,50
2016-03-01,48
2016-04-01,48
2016-05-01,53
2016-06-01,50
2016-07-01,49
2016-08-01,48
2016-09-01,51
2016-10-01,51
2016-11-01,51
2016-12-01,49
2017-01-01,55
2017-02-01,54
2017-03-01,51
2017-04-01,51
2017-05-01,53
2017-06-01,48
2017-07-01,53
2017-08-01,52
2017-09-01,53
2017-10-01,53
2017-11-01,54
2017-12-01,50
2018-01-01,52
2018-02-01,51
2018-03-01,56
2018-04-01,53
2018-05-01,60
2018-06-01,56
2018-07-01,55
2018-08-01,56
2018-09-01,57
2018-10-01,56
2018-11-01,53
2018-12-01,54
2019-01-01,57
2019-02-01,54
2019-03-01,56
2019-04-01,48
2019-05-01,52
2019-06-01,51
2019-07-01,56
2019-08-01,59
2019-09-01,61
2019-10-01,56
2019-11-01,60
2019-12-01,59
2020-01-01,62
2020-02-01,66
2020-03-01,53
2020-04-01,42
2020-05-01,63
2020-06-01,86
2020-07-01,90
2020-08-01,96
2020-09-01,100
2020-10-01,80
2020-11-01,81
2020-12-01,86
2021-01-01,93
2021-02-01,95
2021-03-01,90
2021-04-01,88
2021-05-01,79
2021-06-01,73
2021-07-01,93
2021-08-01,96
2021-09-01,92
2021-10-01,76
2021-11-01,82
2021-12-01,84
2022-01-01,86
2022-02-01,88
2022-03-01,79
2022-04-01,68
2022-05-01,61
2022-06-01,59
2022-07-01,51
2022-08-01,58
2022-09-01,60
2022-10-01,60
2022-11-01,61
2022-12-01,58
2023-01-01,58
2023-02-01,61
2023-03-01,59
2023-04-01,57
2023-05-01,57
2023-06-01,56
2023-07-01,61
2023-08-01,60
2023-09-01,56
2023-10-01,53
2023-11-01,53
2023-12-01,60
2024-01-01,58
2024-02-01,54
2024-03-01,52
2024-04-01,52
2024-05-01,51
2024-06-01,49
2024-07-01,47
2024-08-01,49
2024-09-01,44
2024-10-01,45
2024-11-01,46
2024-12-01,43
2025-01-01,44
2025-02-01,46
2025-03-01,46
2025-04-01,47
2025-05-01,50
2025-06-01,49
2025-07-01,47
2025-08-01,43
2025-09-01,41
2025-10-01,41
2025-11-01,45
