date,cement_price
2015-01-01,0
2015-02-01,21
2015-03-01,25
2015-04-01,0
2015-05-01,0
2015-06-01,15
2015-07-01,0
2015-08-01,0
2015-09-01,20
2015-10-01,14
2015-11-01,15
2015-12-01,16
2016-01-01,11
2016-02-01,20
2016-03-01,11
2016-04-01,0
2016-05-01,0
2016-06-01,18
2016-07-01,14
2016-08-01,19
2016-09-01,17
2016-10-01,19
2016-11-01,12
2016-12-01,13
2017-01-01,0
2017-02-01,13
2017-03-01,15
2017-04-01,0
2017-05-01,0
2017-06-01,11
2017-07-01,15
2017-08-01,12
2017-09-01,13
2017-10-01,12
2017-11-01,0
2017-12-01,0
2018-01-01,14
2018-02-01,14
2018-03-01,12
2018-04-01,16
2018-05-01,23
2018-06-01,20
2018-07-01,10
2018-08-01,18
2018-09-01,19
2018-10-01,15
2018-11-01,22
2018-12-01,19
2019-01-01,21
2019-02-01,25
2019-03-01,26
2019-04-01,17
2019-05-01,25
2019-06-01,22
2019-07-01,23
2019-08-01,23
2019-09-01,27
2019-10-01,25
2019-11-01,26
2019-12-01,26
2020-01-01,32
2020-02-01,35
2020-03-01,18
2020-04-01,25
2020-05-01,34
2020-06-01,50
2020-07-01,36
2020-08-01,38
2020-09-01,46
2020-10-01,37
2020-11-01,43
2020-12-01,58
2021-01-01,49
2021-02-01,61
2021-03-01,42
2021-04-01,39
2021-05-01,38
2021-06-01,43
2021-07-01,40
2021-08-01,42
2021-09-01,76
2021-10-01,71
2021-11-01,87
2021-12-01,45
2022-01-01,79
2022-02-01,66
2022-03-01,82
2022-04-01,100
2022-05-01,65
2022-06-01,55
2022-07-01,26
2022-08-01,51
2022-09-01,48
2022-10-01,51
2022-11-01,36
2022-12-01,42
2023-01-01,37
2023-02-01,46
2023-03-01,47
2023-04-01,52
2023-05-01,57
2023-06-01,65
2023-07-01,61
2023-08-01,56
2023-09-01,48
2023-10-01,43
2023-11-01,49
2023-12-01,52
2024-01-01,70
2024-02-01,45
2024-03-01,49
2024-04-01,41
2024-05-01,48
2024-06-01,57
2024-07-01,46
2024-08-01,59
2024-09-01,43
2024-10-01,44
2024-11-01,55
2024-12-01,46
2025-01-01,52
2025-02-01,57
2025-03-01,57
2025-04-01,56
2025-05-01,47
2025-06-01,52
2025-07-01,56
2025-08-01,56
2025-09-01,55
2025-10-01,60
2025-11-01,65
2025-12-01,56
