date,food_price_Sri_Lanka
2015-01-01,17
2015-02-01,17
2015-03-01,23
2015-04-01,25
2015-05-01,16
2015-06-01,19
2015-07-01,14
2015-08-01,16
2015-09-01,18
2015-10-01,17
2015-11-01,26
2015-12-01,21
2016-01-01,16
2016-02-01,21
2016-03-01,17
2016-04-01,24
2016-05-01,28
2016-06-01,17
2016-07-01,18
2016-08-01,25
2016-09-01,25
2016-10-01,19
2016-11-01,12
2016-12-01,29
2017-01-01,17
2017-02-01,20
2017-03-01,19
2017-04-01,20
2017-05-01,25
2017-06-01,23
2017-07-01,18
2017-08-01,20
2017-09-01,25
2017-10-01,20
2017-11-01,23
2017-12-01,30
2018-01-01,18
2018-02-01,20
2018-03-01,27
2018-04-01,24
2018-05-01,27
2018-06-01,30
2018-07-01,31
2018-08-01,41
2018-09-01,34
2018-10-01,36
2018-11-01,36
2018-12-01,35
2019-01-01,41
2019-02-01,46
2019-03-01,26
2019-04-01,37
2019-05-01,38
2019-06-01,32
2019-07-01,34
2019-08-01,56
2019-09-01,42
2019-10-01,45
2019-11-01,46
2019-12-01,70
2020-01-01,49
2020-02-01,46
2020-03-01,59
2020-04-01,94
2020-05-01,65
2020-06-01,70
2020-07-01,91
2020-08-01,65
2020-09-01,75
2020-10-01,69
2020-11-01,69
2020-12-01,88
2021-01-01,92
2021-02-01,81
2021-03-01,74
2021-04-01,75
2021-05-01,66
2021-06-01,92
2021-07-01,75
2021-08-01,84
2021-09-01,94
2021-10-01,73
2021-11-01,68
2021-12-01,78
2022-01-01,85
2022-02-01,97
2022-03-01,92
2022-04-01,75
2022-05-01,80
2022-06-01,100
2022-07-01,75
2022-08-01,90
2022-09-01,91
2022-10-01,87
2022-11-01,83
2022-12-01,91
2023-01-01,81
2023-02-01,93
2023-03-01,93
2023-04-01,85
2023-05-01,79
2023-06-01,87
2023-07-01,83
2023-08-01,82
2023-09-01,79
2023-10-01,67
2023-11-01,80
2023-12-01,98
2024-01-01,86
2024-02-01,79
2024-03-01,80
2024-04-01,82
2024-05-01,84
2024-06-01,70
2024-07-01,78
2024-08-01,80
2024-09-01,67
2024-10-01,80
2024-11-01,74
2024-12-01,91
2025-01-01,71
2025-02-01,61
2025-03-01,75
2025-04-01,77
2025-05-01,77
2025-06-01,72
2025-07-01,70
2025-08-01,74
2025-09-01,65
2025-10-01,72
2025-11-01,93
