date,job_vacancies
2015-01-01,32
2015-02-01,36
2015-03-01,40
2015-04-01,35
2015-05-01,39
2015-06-01,38
2015-07-01,37
2015-08-01,33
2015-09-01,39
2015-10-01,41
2015-11-01,45
2015-12-01,44
2016-01-01,49
2016-02-01,40
2016-03-01,36
2016-04-01,37
2016-05-01,43
2016-06-01,48
2016-07-01,37
2016-08-01,36
2016-09-01,46
2016-10-01,47
2016-11-01,44
2016-12-01,36
2017-01-01,44
2017-02-01,45
2017-03-01,40
2017-04-01,36
2017-05-01,40
2017-06-01,43
2017-07-01,46
2017-08-01,43
2017-09-01,49
2017-10-01,47
2017-11-01,54
2017-12-01,44
2018-01-01,48
2018-02-01,47
2018-03-01,52
2018-04-01,49
2018-05-01,56
2018-06-01,54
2018-07-01,51
2018-08-01,57
2018-09-01,62
2018-10-01,58
2018-11-01,53
2018-12-01,53
2019-01-01,76
2019-02-01,62
2019-03-01,64
2019-04-01,50
2019-05-01,72
2019-06-01,72
2019-07-01,81
2019-08-01,75
2019-09-01,94
2019-10-01,69
2019-11-01,66
2019-12-01,76
2020-01-01,94
2020-02-01,82
2020-03-01,47
2020-04-01,18
2020-05-01,44
2020-06-01,64
2020-07-01,59
2020-08-01,65
2020-09-01,100
2020-10-01,55
2020-11-01,59
2020-12-01,69
2021-01-01,79
2021-02-01,74
2021-03-01,76
2021-04-01,60
2021-05-01,61
2021-06-01,47
2021-07-01,71
2021-08-01,50
2021-09-01,48
2021-10-01,58
2021-11-01,62
2021-12-01,54
2022-01-01,74
2022-02-01,72
2022-03-01,78
2022-04-01,67
2022-05-01,80
2022-06-01,88
2022-07-01,70
2022-08-01,84
2022-09-01,83
2022-10-01,74
2022-11-01,70
2022-12-01,70
2023-01-01,78
2023-02-01,85
2023-03-01,79
2023-04-01,67
2023-05-01,79
2023-06-01,78
2023-07-01,77
2023-08-01,74
2023-09-01,77
2023-10-01,72
2023-11-01,70
2023-12-01,74
2024-01-01,84
2024-02-01,81
2024-03-01,66
2024-04-01,55
2024-05-01,62
2024-06-01,71
2024-07-01,70
2024-08-01,64
2024-09-01,61
2024-10-01,63
2024-11-01,62
2024-12-01,64
2025-01-01,77
2025-02-01,78
2025-03-01,66
2025-04-01,54
2025-05-01,69
2025-06-01,63
2025-07-01,61
2025-08-01,57
2025-09-01,54
2025-10-01,55
2025-11-01,50
