date,mobile_price_Sri_Lanka
2015-01-01,59
2015-02-01,58
2015-03-01,60
2015-04-01,64
2015-05-01,62
2015-06-01,61
2015-07-01,56
2015-08-01,54
2015-09-01,55
2015-10-01,58
2015-11-01,56
2015-12-01,61
2016-01-01,44
2016-02-01,45
2016-03-01,47
2016-04-01,51
2016-05-01,46
2016-06-01,45
2016-07-01,49
2016-08-01,43
2016-09-01,41
2016-10-01,44
2016-11-01,47
2016-12-01,44
2017-01-01,44
2017-02-01,45
2017-03-01,42
2017-04-01,39
2017-05-01,42
2017-06-01,40
2017-07-01,40
2017-08-01,43
2017-09-01,49
2017-10-01,45
2017-11-01,51
2017-12-01,49
2018-01-01,44
2018-02-01,45
2018-03-01,40
2018-04-01,40
2018-05-01,46
2018-06-01,42
2018-07-01,45
2018-08-01,47
2018-09-01,46
2018-10-01,46
2018-11-01,49
2018-12-01,46
2019-01-01,43
2019-02-01,45
2019-03-01,47
2019-04-01,44
2019-05-01,50
2019-06-01,51
2019-07-01,50
2019-08-01,59
2019-09-01,66
2019-10-01,64
2019-11-01,57
2019-12-01,65
2020-01-01,58
2020-02-01,58
2020-03-01,48
2020-04-01,52
2020-05-01,100
2020-06-01,100
2020-07-01,89
2020-08-01,72
2020-09-01,82
2020-10-01,79
2020-11-01,92
2020-12-01,96
2021-01-01,87
2021-02-01,80
2021-03-01,81
2021-04-01,74
2021-05-01,82
2021-06-01,97
2021-07-01,98
2021-08-01,68
2021-09-01,82
2021-10-01,69
2021-11-01,68
2021-12-01,65
2022-01-01,60
2022-02-01,68
2022-03-01,74
2022-04-01,67
2022-05-01,62
2022-06-01,64
2022-07-01,53
2022-08-01,61
2022-09-01,57
2022-10-01,52
2022-11-01,54
2022-12-01,58
2023-01-01,46
2023-02-01,63
2023-03-01,54
2023-04-01,56
2023-05-01,61
2023-06-01,75
2023-07-01,68
2023-08-01,58
2023-09-01,61
2023-10-01,62
2023-11-01,67
2023-12-01,91
2024-01-01,60
2024-02-01,51
2024-03-01,55
2024-04-01,71
2024-05-01,65
2024-06-01,63
2024-07-01,58
2024-08-01,54
2024-09-01,62
2024-10-01,64
2024-11-01,64
2024-12-01,58
2025-01-01,56
2025-02-01,56
2025-03-01,52
2025-04-01,57
2025-05-01,58
2025-06-01,53
2025-07-01,49
2025-08-01,48
2025-09-01,48
2025-10-01,55
2025-11-01,51
