date,salary_scale
2015-01-01,49
2015-02-01,46
2015-03-01,46
2015-04-01,32
2015-05-01,30
2015-06-01,45
2015-07-01,46
2015-08-01,24
2015-09-01,0
2015-10-01,32
2015-11-01,36
2015-12-01,29
2016-01-01,31
2016-02-01,50
2016-03-01,51
2016-04-01,34
2016-05-01,42
2016-06-01,28
2016-07-01,36
2016-08-01,30
2016-09-01,49
2016-10-01,43
2016-11-01,48
2016-12-01,36
2017-01-01,46
2017-02-01,42
2017-03-01,44
2017-04-01,37
2017-05-01,33
2017-06-01,39
2017-07-01,52
2017-08-01,32
2017-09-01,67
2017-10-01,46
2017-11-01,43
2017-12-01,45
2018-01-01,47
2018-02-01,48
2018-03-01,57
2018-04-01,69
2018-05-01,56
2018-06-01,56
2018-07-01,47
2018-08-01,60
2018-09-01,52
2018-10-01,52
2018-11-01,54
2018-12-01,29
2019-01-01,84
2019-02-01,63
2019-03-01,66
2019-04-01,43
2019-05-01,62
2019-06-01,66
2019-07-01,90
2019-08-01,69
2019-09-01,100
2019-10-01,67
2019-11-01,48
2019-12-01,64
2020-01-01,79
2020-02-01,60
2020-03-01,46
2020-04-01,29
2020-05-01,33
2020-06-01,43
2020-07-01,60
2020-08-01,62
2020-09-01,78
2020-10-01,46
2020-11-01,44
2020-12-01,52
2021-01-01,56
2021-02-01,76
2021-03-01,73
2021-04-01,48
2021-05-01,54
2021-06-01,43
2021-07-01,57
2021-08-01,38
2021-09-01,47
2021-10-01,45
2021-11-01,50
2021-12-01,41
2022-01-01,82
2022-02-01,52
2022-03-01,64
2022-04-01,36
2022-05-01,38
2022-06-01,34
2022-07-01,32
2022-08-01,41
2022-09-01,47
2022-10-01,37
2022-11-01,36
2022-12-01,37
2023-01-01,57
2023-02-01,47
2023-03-01,44
2023-04-01,40
2023-05-01,45
2023-06-01,46
2023-07-01,54
2023-08-01,46
2023-09-01,49
2023-10-01,43
2023-11-01,46
2023-12-01,38
2024-01-01,40
2024-02-01,58
2024-03-01,51
2024-04-01,58
2024-05-01,65
2024-06-01,50
2024-07-01,63
2024-08-01,42
2024-09-01,47
2024-10-01,40
2024-11-01,40
2024-12-01,43
2025-01-01,53
2025-02-01,92
2025-03-01,86
2025-04-01,58
2025-05-01,66
2025-06-01,69
2025-07-01,68
2025-08-01,41
2025-09-01,59
2025-10-01,54
2025-11-01,84
