date,three_wheeler_price_Sri_Lanka
2015-01-01,20
2015-02-01,39
2015-03-01,24
2015-04-01,24
2015-05-01,30
2015-06-01,31
2015-07-01,15
2015-08-01,19
2015-09-01,21
2015-10-01,34
2015-11-01,48
2015-12-01,27
2016-01-01,0
2016-02-01,0
2016-03-01,14
2016-04-01,16
2016-05-01,85
2016-06-01,76
2016-07-01,33
2016-08-01,29
2016-09-01,17
2016-10-01,25
2016-11-01,32
2016-12-01,31
2017-01-01,23
2017-02-01,24
2017-03-01,37
2017-04-01,24
2017-05-01,43
2017-06-01,34
2017-07-01,31
2017-08-01,42
2017-09-01,39
2017-10-01,39
2017-11-01,61
2017-12-01,27
2018-01-01,40
2018-02-01,19
2018-03-01,40
2018-04-01,40
2018-05-01,41
2018-06-01,45
2018-07-01,50
2018-08-01,39
2018-09-01,31
2018-10-01,43
2018-11-01,45
2018-12-01,32
2019-01-01,31
2019-02-01,41
2019-03-01,56
2019-04-01,21
2019-05-01,31
2019-06-01,34
2019-07-01,45
2019-08-01,46
2019-09-01,49
2019-10-01,51
2019-11-01,44
2019-12-01,62
2020-01-01,61
2020-02-01,58
2020-03-01,39
2020-04-01,26
2020-05-01,40
2020-06-01,84
2020-07-01,79
2020-08-01,64
2020-09-01,100
2020-10-01,76
2020-11-01,83
2020-12-01,64
2021-01-01,78
2021-02-01,78
2021-03-01,62
2021-04-01,78
2021-05-01,44
2021-06-01,40
2021-07-01,67
2021-08-01,68
2021-09-01,73
2021-10-01,63
2021-11-01,56
2021-12-01,74
2022-01-01,79
2022-02-01,67
2022-03-01,68
2022-04-01,79
2022-05-01,47
2022-06-01,53
2022-07-01,35
2022-08-01,57
2022-09-01,47
2022-10-01,54
2022-11-01,44
2022-12-01,50
2023-01-01,62
2023-02-01,70
2023-03-01,72
2023-04-01,71
2023-05-01,67
2023-06-01,55
2023-07-01,60
2023-08-01,56
2023-09-01,60
2023-10-01,55
2023-11-01,66
2023-12-01,66
2024-01-01,68
2024-02-01,63
2024-03-01,55
2024-04-01,50
2024-05-01,60
2024-06-01,80
2024-07-01,64
2024-08-01,60
2024-09-01,56
2024-10-01,63
2024-11-01,64
2024-12-01,62
2025-01-01,62
2025-02-01,84
2025-03-01,67
2025-04-01,76
2025-05-01,66
2025-06-01,59
2025-07-01,61
2025-08-01,78
2025-09-01,61
2025-10-01,93
2025-11-01,76
